BST Model Scaled Impulse,,,,,,,,,,,,,,,,,
scaled_distance_Mf5.2,scaled_impulse_Mf5.2,scaled_distance_Mf4.0,scaled_impulse_Mf4.0,scaled_distance_Mf3.0,scaled_impulse_Mf3.0,scaled_distance_Mf2.0,scaled_impulse_Mf2.0,scaled_distance_Mf1.4,scaled_impulse_Mf1.4,scaled_distance_Mf1.0,scaled_impulse_Mf1.0,scaled_distance_Mf0.7,scaled_impulse_Mf0.7,scaled_distance_Mf0.35,scaled_impulse_Mf0.35,scaled_distance_Mf0.2,scaled_impulse_Mf0.2
0.047751849,0.453418171,0.03907015,0.453827265,0.053852247,0.419330438,0.053852247,0.419330438,0.053824935,0.332226126,0.050670111,0.302762609,0.1042645,0.211172611,0.092359636,0.143329277,0.073986518,0.087304678
0.051226064,0.453275075,0.043190503,0.439755964,0.060129775,0.400052005,0.060129775,0.400052005,0.059503346,0.326961369,0.056015695,0.297964758,0.114109655,0.204634251,0.103132926,0.141051591,0.081794696,0.08726532
0.051226064,0.453275075,0.046334421,0.446494551,0.060129775,0.400052005,0.060129775,0.400052005,0.0644762,0.326843444,0.061307039,0.293256161,0.124880214,0.195243937,0.114009363,0.136678166,0.09133255,0.084555771
0.054402622,0.446172534,0.050206713,0.446333513,0.067145883,0.399853624,0.067145883,0.399853624,0.070561966,0.31184516,0.064456578,0.284227578,0.136676626,0.192158589,0.127303681,0.132434371,0.096031091,0.08453671
0.058360717,0.446031725,0.053855889,0.432553073,0.07059777,0.393605913,0.07059777,0.393605913,0.074937555,0.306958739,0.069841025,0.279748678,0.149572172,0.180516758,0.137938125,0.130347451,0.103010923,0.081926659
0.061358895,0.432299586,0.058354797,0.425736837,0.07059777,0.393605913,0.07059777,0.393605913,0.080389682,0.306861865,0.075675268,0.275340356,0.162055877,0.172240921,0.149455875,0.126317308,0.111619822,0.08189711
0.065820872,0.425506532,0.058354797,0.425736837,0.075729031,0.381453424,0.075729031,0.381453424,0.085374694,0.302053529,0.080370654,0.275265872,0.162055877,0.172240921,0.160318783,0.122417292,0.118545442,0.081874956
0.069204641,0.418857994,0.061973412,0.419065803,0.080422313,0.36969281,0.080422313,0.36969281,0.091581535,0.295008528,0.086212237,0.266767104,0.17556963,0.159320675,0.173705304,0.118632337,0.129734685,0.078117855
0.074983187,0.405907549,0.065818646,0.41895244,0.08540646,0.358294788,0.08540646,0.358294788,0.099230215,0.288114851,0.091561405,0.26669494,0.186444196,0.152030288,0.190100964,0.113188503,0.146323404,0.075688918
0.074983187,0.405907549,0.071312051,0.399745458,0.090702565,0.35268053,0.090702565,0.35268053,0.104324461,0.274943343,0.096265208,0.258484107,0.194072144,0.149661563,0.205974279,0.109688889,0.160145379,0.074492842
0.079630245,0.393392989,0.075734153,0.393481693,0.098279497,0.347122938,0.098279497,0.347122938,0.109683943,0.266478563,0.103265549,0.254422348,0.202005341,0.14506042,0.216548514,0.104674333,0.178825537,0.073309055
