BST Model Dimensionless Side on Overpressure,,,,,,,,,,,,,,,,,
scaled_distance_Mf5.2,scaled_overpressure_Mf5.2,scaled_distance_Mf4.0,scaled_overpressure_Mf4.0,scaled_distance_Mf3.0,scaled_overpressure_Mf3.0,scaled_distance_Mf2.0,scaled_overpressure_Mf2.0,scaled_distance_Mf1.4,scaled_overpressure_Mf1.4,scaled_distance_Mf1.0,scaled_overpressure_Mf1.0,scaled_distance_Mf0.7,scaled_overpressure_Mf0.7,scaled_distance_Mf0.35,scaled_overpressure_Mf0.35,scaled_distance_Mf0.2,scaled_overpressure_Mf0.2
0.101123993,19.63133134,0.102750462,14.83508445,0.101628673,5.069990232,0.101298457,5.070032048,0.100865439,2.040226429,0.102801491,1.294162821,0.100741728,0.689154052,0.100936842,0.214521988,0.100151046,0.067562617
0.104472,20.09327613,0.108242686,14.8331269,0.105335649,5.189249354,0.101298457,5.070032048,0.104882605,2.040024514,0.108295013,1.278978368,0.104413596,0.689091532,0.103937083,0.214506065,0.10312793,0.067557602
0.108632804,20.09128756,0.108242686,14.8331269,0.11169217,5.24938559,0.106369139,5.189120959,0.109415279,2.039805795,0.113344935,1.293842646,0.109994718,0.689000603,0.107725417,0.214486604,0.108641764,0.068341629
0.108632804,20.09128756,0.116656059,14.83031338,0.118816779,5.248563046,0.106369139,5.189120959,0.11451744,2.063512403,0.120183194,1.293650579,0.115871104,0.67301613,0.11274729,0.21446184,0.114077018,0.068333175
0.113328297,20.20670072,0.123694082,14.82811187,0.125167781,5.247870477,0.112418585,5.128194546,0.120638633,2.063240115,0.124563672,1.293533218,0.121272707,0.672938423,0.116856741,0.214442384,0.120173084,0.067531419
0.120361252,20.20361778,0.132013211,14.82566612,0.133155485,5.370959403,0.119205675,5.310131127,0.12585223,2.063018907,0.131221856,1.293362532,0.127754983,0.672849627,0.121513999,0.219484806,0.125366561,0.067524179
0.126592824,20.79910499,0.137718378,14.82407661,0.13846232,5.497252749,0.125986825,5.309386645,0.132146765,2.038830258,0.137786773,1.293202533,0.133277883,0.680675094,0.125942982,0.219464894,0.132065919,0.066731916
0.126592824,20.79910499,0.145079709,14.82212051,0.144448103,5.561187647,0.134461927,5.370826511,0.139210282,2.038561226,0.143741455,1.293063884,0.139489104,0.672699808,0.133541299,0.219432316,0.137775182,0.067508031
0.133357711,20.55506845,0.15184294,14.82040914,0.151676719,5.62577333,0.140732043,5.433246218,0.146651358,2.03829223,0.15291042,1.29286127,0.1474241,0.672605496,0.141134222,0.214339827,0.144203605,0.069905367
0.140493371,21.53452286,0.164176517,14.64555446,0.159786261,5.691062151,0.140732043,5.433246218,0.154993786,2.038006461,0.159518695,1.292722657,0.153795274,0.672533383,0.148195046,0.214313311,0.144203605,0.069905367
0.145610278,21.03580005,0.173511304,14.30566685,0.166696085,5.824834388,0.146817884,5.560958318,0.161692097,2.037787958,0.166955034,1.292573398,0.160441789,0.672461278,0.154603619,0.21935089,0.150924003,0.069086305
0.15439515,21.03267735,0.183374432,13.81153623,0.17390013,5.824209885,0.146817884,5.560958318,0.170890135,2.037502259,0.174738035,1.292424157,0.169017733,0.672372544,0.163398421,0.219320136,0.158991201,0.069077188
0.15439515,21.03267735,0.191289161,13.18019347,0.182006893,5.823537418,0.156185149,5.625355751,0.17885658,2.037267008,0.182883858,1.292274933,0.178052079,0.672283822,0.173821263,0.21928577,0.16640295,0.069069213
0.157950821,20.78744327,0.196316876,12.14546832,0.192987624,5.822672932,0.156185149,5.625355751,0.189644746,2.01333048,0.191409419,1.292125726,0.18879421,0.672184024,0.184313008,0.224430974,0.174160214,0.069061238
0.162643596,20.54472964,0.204105954,10.68116887,0.198723977,5.822240737,0.161358247,5.82531482,0.200432902,2.013048211,0.204282787,1.291912603,0.204129186,0.664253438,0.194164918,0.22440136,0.184067515,0.069051555
0.16856946,20.304515,0.210147828,9.615477622,0.207982473,5.687261445,0.168336051,5.962242756,0.21884239,2.012599981,0.21450288,1.291752784,0.214347252,0.679855946,0.209938905,0.224356945,0.193276255,0.069043013
0.173570847,19.37700923,0.214959097,8.456551283,0.214862672,5.686792399,0.168336051,5.962242756,0.230536924,1.988986083,0.224502436,1.291603638,0.225073831,0.687751555,0.221157653,0.221724558,0.193276255,0.069043013
0.173570847,19.37700923,0.219171859,7.613004959,0.224879,5.686135798,0.177333959,5.961456015,0.242067294,1.96566546,0.231175533,1.291507767,0.235566176,0.687672147,0.232221981,0.221697129,0.203607269,0.069033903
0.176981825,18.27777003,0.226401296,7.015222163,0.238436826,5.489686266,0.183197867,5.891801622,0.250890244,1.965487135,0.241159798,1.261576641,0.244152171,0.687609761,0.248648142,0.221658735,0.214490496,0.069024794
0.178125813,17.24145841,0.226401296,7.015222163,0.251987273,5.23857295,0.191112542,5.822817004,0.266023294,1.942393973,0.249949672,1.26146219,0.258882214,0.687507687,0.269724754,0.221613035,0.223760055,0.069017393
0.181026601,15.52174008,0.233100073,6.242019196,0.266304283,4.940945432,0.198078276,5.822288757,0.282065408,1.897300097,0.264157884,1.217890149,0.27719418,0.687388621,0.285997627,0.221580137,0.239587664,0.06900544
0.182184714,13.81176406,0.238433679,5.425991589,0.273303644,4.553051239,0.210023073,5.687120727,0.298095282,1.810512383,0.276468576,1.203620461,0.294868033,0.671424932,0.308227349,0.221538108,0.257371095,0.06899292
0.184547564,12.28996741,0.238433679,5.425991589,0.27867455,4.294760997,0.220524527,5.555228158,0.314016657,1.747990071,0.290303892,1.217598886,0.307607179,0.663563501,0.327879871,0.21639318,0.271124532,0.068183424
0.186950928,11.45845196,0.247104624,5.058587423,0.288816528,4.098509655,0.236113924,5.363168635,0.336224107,1.727409612,0.309824386,1.203273064,0.322979453,0.63322073,0.345387493,0.206496465,0.288418997,0.06817274
0.190614786,10.31546415,0.247104624,5.058587423,0.292566204,3.689741595,0.246308223,5.178090783,0.355313084,1.573211694,0.328490516,1.121732402,0.349218353,0.6330954,0.357976292,0.206477731,0.312866779,0.068158685
0.193721515,9.395579918,0.259456785,4.883939817,0.297322813,3.245080998,0.258617161,4.941312206,0.369464131,1.573055998,0.348290424,1.070412455,0.364295974,0.61124788,0.377095933,0.199347449,0.328519235,0.068150254
0.199458624,8.557444283,0.274187331,4.447972951,0.31115447,2.990174477,0.272415616,4.553088792,0.387922509,1.483707897,0.366897581,1.045579416,0.386243878,0.569826229,0.395951269,0.194724293,0.352894312,0.066565907
0.206035097,7.794010516,0.28231118,4.098746284,0.321405252,2.660581819,0.272415616,4.553088792,0.407270816,1.304794683,0.385253152,1.04545007,0.40423354,0.55015753,0.415754885,0.192441174,0.371757239,0.066557124
0.212139675,7.18207417,0.290668059,3.689802459,0.334152934,2.312664989,0.281405025,4.244825537,0.42761801,1.230683573,0.385253152,1.04545007,0.42169759,0.543715968,0.442251672,0.183635357,0.387807985,0.064260301
0.212139675,7.18207417,0.297318889,3.207429595,0.347433726,2.156052281,0.287862899,3.911613242,0.450439407,1.147304344,0.404500346,0.98606949,0.444238195,0.543644222,0.475052793,0.175228145,0.4032266,0.060611876
0.218416479,6.390481128,0.306140219,3.060914919,0.360049591,1.918385108,0.290652716,3.521514485,0.46681405,1.057207833,0.423351493,0.974515981,0.466438429,0.518785001,0.516979943,0.16916305,0.427539721,0.058860267
0.226356485,5.888643885,0.317256652,2.723502417,0.379224916,1.628998765,0.299268365,3.283120227,0.490136016,0.997159423,0.444519673,0.951915543,0.477148873,0.483673043,0.555308889,0.157694392,0.45924665,0.055838736
0.231551068,5.426394369,0.325590914,2.480571994,0.394286672,1.483646713,0.311158576,3.025275563,0.507973844,0.951593704,0.468255448,0.908379806,0.49613263,0.466985797,0.596479546,0.147003269,0.480636483,0.05391135
0.239968552,5.000265767,0.331993739,2.367318587,0.419387579,1.335508817,0.311158576,3.025275563,0.529877817,0.876851664,0.493252119,0.856777621,0.519261018,0.466931879,0.640685691,0.133875442,0.516284546,0.051443176
0.250319366,4.661611408,0.340728629,2.232986033,0.43889198,1.216324176,0.319341071,2.820498213,0.540305125,0.846641225,0.511216845,0.836935317,0.545217616,0.450811067,0.688204357,0.127746343,0.540323841,0.049091238
0.259425972,4.396981323,0.351953713,1.986854643,0.468348145,1.082165312,0.328798434,2.568894791,0.55273359,0.817464893,0.533274732,0.7894112,0.578073216,0.425194902,0.727324847,0.12333387,0.571038168,0.047395583
0.259425972,4.396981323,0.370707655,1.726982253,0.480645204,0.97420257,0.335246639,2.339793623,0.572834453,0.762112797,0.561749712,0.753307578,0.603039682,0.415340867,0.781269405,0.117687387,0.601529581,0.045227952
0.26972253,3.912258528,0.38543113,1.572887344,0.504671491,0.94056825,0.342944633,2.181433732,0.589838001,0.735837284,0.595562262,0.670229856,0.635248245,0.400997927,0.836466061,0.109709502,0.631590251,0.043159813
0.276808081,3.563293676,0.402061638,1.483573295,0.528149149,0.866685046,0.357741943,2.057564288,0.613289,0.694059592,0.631468368,0.647074176,0.66918591,0.391694973,0.836466061,0.109709502,0.656718584,0.041670752
0.285938663,3.283499341,0.412612818,1.320067868,0.554520772,0.798598905,0.357741943,2.057564288,0.635608812,0.662344177,0.663025191,0.617485413,0.70263689,0.378171714,0.889752025,0.102274115,0.696302582,0.03976429
0.291550174,3.025774633,0.433192597,1.160887219,0.569140481,0.789280995,0.36594682,1.874049537,0.658749616,0.639497858,0.68494043,0.603189906,0.737760004,0.365115345,0.946420011,0.094236427,0.735873699,0.037945362
0.299209132,2.755882194,0.451871983,1.069706416,0.593697646,0.744462857,0.380481207,1.706832132,0.687173219,0.603184931,0.709867898,0.575626829,0.764640038,0.360846316,1.033286034,0.089395212,0.782761888,0.035788921
0.310086162,2.539465887,0.477545722,1.008931455,0.629458109,0.685961428,0.386697775,1.610018456,0.716832698,0.575612586,0.740487371,0.536641194,0.782228808,0.348411093,1.060507196,0.08681896,0.838063989,0.033362833
0.319277865,2.367552897,0.517956439,0.897610703,0.671712953,0.617465042,0.398176195,1.554509533,0.750209936,0.549296078,0.759959866,0.500316582,0.829377988,0.332471071,1.135446976,0.081883673,0.900198138,0.031100951
0.319277865,2.367552897,0.540312255,0.856579784,0.691642402,0.589259375,0.408636195,1.415850703,0.785141289,0.524182737,0.800496772,0.455659377,0.896733114,0.32473648,1.199958986,0.077231483,0.900198138,0.031100951
0.333067191,2.312684063,0.569170524,0.826999568,0.728573654,0.562309672,0.424888512,1.351141524,0.80580931,0.500242311,0.857051842,0.424770783,0.938499279,0.313527547,1.276417629,0.072842404,0.966977201,0.030025458
0.348580101,2.232857118,0.599522653,0.744444437,0.767436393,0.512119095,0.440345936,1.27444,0.83242208,0.477387415,0.899870034,0.400644202,0.982236665,0.309854029,1.348903483,0.067118851,0.998886361,0.027992608
0.360101859,2.181163873,0.631518369,0.694008074,0.808425443,0.494434118,0.440345936,1.27444,0.868350729,0.455565434,0.947894885,0.373500422,1.031363513,0.306221028,1.453672895,0.064045482,0.998886361,0.027992608
0.369551902,1.940776605,0.660897028,0.639492583,0.851570019,0.460936039,0.456347634,1.160734036,0.908782965,0.434737377,0.979135587,0.336232426,1.093543826,0.29564144,1.521298736,0.059014602,1.065982726,0.026095238
0.382975966,1.747110865,0.700686649,0.575645819,0.917711512,0.439829793,0.486968906,1.020724596,0.951110363,0.419731542,1.028053066,0.317134741,1.151935188,0.282120316,1.628842922,0.056974305,1.122887605,0.02461285
0.399484725,1.5912068,0.733331448,0.562300396,0.992148692,0.395897715,0.52307283,0.95152307,0.97932942,0.400558297,1.07592138,0.302635615,1.205571714,0.269222019,1.743874592,0.051886759,1.206170441,0.023486023
0.414007033,1.466251133,0.767487031,0.542891467,1.045098331,0.369075511,0.545627876,0.876786579,1.01167289,0.38225773,1.15195039,0.285432072,1.274051147,0.250980066,1.910127922,0.048934393,1.270525365,0.021640799
0.434662087,1.304579471,0.798001067,0.512068412,1.108062841,0.344064845,0.56547033,0.817417699,1.045112122,0.373408018,1.253536369,0.259933567,1.359576827,0.225918559,2.065088979,0.044563671,1.347071279,0.020174295
0.456377745,1.230480584,0.843329487,0.477371666,1.171018983,0.324516932,0.58223992,0.771027297,1.093774741,0.356336127,1.324757793,0.245165541,1.450901192,0.210605552,2.189534219,0.042031457,1.437650487,0.019936932
0.472968262,1.133852338,0.874032841,0.460905627,1.245617197,0.302523315,0.59950683,0.727269661,1.133581173,0.340053162,1.37737348,0.223289948,1.528313665,0.194058933,2.36720925,0.038953261,1.437650487,0.019936932
